"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_dev_center_project","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_project.html.markdown"
"DataSource","azurerm_dev_center_project_environment_type","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_project_environment_type.html.markdown"
"DataSource","azurerm_dev_center_project_pool","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_project_pool.html.markdown"
"DataSource","azurerm_dev_test_lab","Microsoft.DevTestLab","2018-09-15","GeneratedAPISection","website/docs/d/dev_test_lab.html.markdown"
"DataSource","azurerm_dev_test_virtual_network","Microsoft.DevTestLab","2018-09-15","GeneratedAPISection","website/docs/d/dev_test_virtual_network.html.markdown"
"DataSource","azurerm_digital_twins_instance","Microsoft.DigitalTwins","2023-01-31","GeneratedAPISection","website/docs/d/digital_twins_instance.html.markdown"
"DataSource","azurerm_disk_access","Microsoft.Compute","2022-03-02","GeneratedAPISection","website/docs/d/disk_access.html.markdown"
"DataSource","azurerm_disk_encryption_set","Microsoft.Compute","2022-03-02","GeneratedAPISection","website/docs/d/disk_encryption_set.html.markdown"
"DataSource","azurerm_dns_a_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_a_record.html.markdown"
"DataSource","azurerm_dns_aaaa_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_aaaa_record.html.markdown"
"DataSource","azurerm_dns_caa_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_caa_record.html.markdown"
"DataSource","azurerm_dns_cname_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_cname_record.html.markdown"
"DataSource","azurerm_dns_mx_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_mx_record.html.markdown"
"DataSource","azurerm_dns_ns_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_ns_record.html.markdown"
"DataSource","azurerm_dns_ptr_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_ptr_record.html.markdown"
"DataSource","azurerm_dns_soa_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_soa_record.html.markdown"
"DataSource","azurerm_dns_srv_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_srv_record.html.markdown"
"DataSource","azurerm_dns_txt_record","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_txt_record.html.markdown"
"DataSource","azurerm_dns_zone","Microsoft.Network","2018-05-01","GeneratedAPISection","website/docs/d/dns_zone.html.markdown"
"DataSource","azurerm_dynatrace_monitor","Dynatrace.Observability","2023-04-27","GeneratedAPISection","website/docs/d/dynatrace_monitor.html.markdown"
"DataSource","azurerm_elastic_cloud_elasticsearch","Microsoft.Elastic","2023-06-01","GeneratedAPISection","website/docs/d/elastic_cloud_elasticsearch.html.markdown"
"DataSource","azurerm_elastic_san","Microsoft.ElasticSan","2023-01-01","GeneratedAPISection","website/docs/d/elastic_san.html.markdown"
"DataSource","azurerm_elastic_san_volume_group","Microsoft.ElasticSan","2023-01-01","GeneratedAPISection","website/docs/d/elastic_san_volume_group.html.markdown"
"DataSource","azurerm_elastic_san_volume_snapshot","Microsoft.ElasticSan","2023-01-01","GeneratedAPISection","website/docs/d/elastic_san_volume_snapshot.html.markdown"
